Ag	4.26
Al	4.06
As	3.75
Au	5.10
B	4.45
Ba	2.52
Be	4.98
Bi	4.31
C	5
Ca	2.87
Cd	4.08
Ce	2.9
Co	5
Cr	4.5
Cs	1.95
Cu	4.53
Eu	2.5
Fe:	4.67
Ga	4.32
Gd	2.90
Hf	3.90
Hg	4.475
In	4.09
Ir	5.00
K	2.29
La	3.5
Li	2.9
Lu	3.3
Mg	3.66
Mn	4.1
Mo	4.36
Na	2.36
Nb	3.95
Nd	3.2
Ni	5.04
Os	5.93
Pb	4.25
Pd	5.22
Pt	5.12
Rb	2.261
Re	4.72
Rh	4.98
Ru	4.71
Sb	4.55
Sc	3.5
Se	5.9
Si	4.60
Sm	2.7
Sn	4.42
Sr	2.59
Ta	4.00
Tb	3.00
Te	4.95
Th	3.4
Ti	4.33
Tl	3.84
U	3.63
V	4.3
W	4.32
Y	3.1
Yb	2.60
Zn	3.63
