Frame,Speed,Altitude,Time,Distance,Acceleration
109,0,0.0,1.23,0.0,0.22026431718061673
110,0,0.0,1.27,0.0,0.22026431718061673
111,0,0.0,1.3,0.0,0.22026431718061673
112,0,0.0,1.33,0.0,0.22026431718061673
113,0,0.0,1.37,0.0,0.22026431718061673
114,0,0.0,1.4,0.0,0.22026431718061673
115,0,0.0,1.43,0.0,0.22026431718061673
116,0,0.0,1.47,0.0,0.22026431718061673
117,0,0.0,1.5,0.0,0.22026431718061673
118,0,0.0,1.53,0.0,0.22026431718061673
119,0,0.0,1.57,0.0,0.22026431718061673
120,0,0.0,1.6,0.0,0.22026431718061673
121,0,0.0,1.63,0.0,0.22026431718061673
122,0,0.0,1.67,0.0,0.22026431718061673
123,0,0.0,1.7,0.0,0.22026431718061673
124,0,0.0,1.73,0.0,0.22026431718061673
125,0,0.0,1.77,0.0,0.22026431718061673
126,0,0.0,1.8,0.0,0.22026431718061673
127,0,0.0,1.83,0.0,0.22026431718061673
128,0,0.0,1.87,0.0,0.22026431718061673
129,0,0.0,1.9,0.0,0.22026431718061673
130,0,0.0,1.94,0.0,0.22026431718061673
131,0,0.0,1.97,0.0,0.22026431718061673
132,0,0.0,2.0,0.0,0.22026431718061673
133,0,0.0,2.04,0.0,0.22026431718061673
134,0,0.0,2.07,0.0,0.22026431718061673
135,0,0.0,2.1,0.0,0.22026431718061673
136,0,0.0,2.14,0.0,0.22026431718061673
137,1,0.0,2.17,0.029999999999999805,2.5000000000000004
138,1,0.0,2.2,0.06000000000000005,2.5000000000000004
139,1,0.0,2.24,0.10000000000000009,2.5000000000000004
140,1,0.0,2.27,0.1299999999999999,2.5000000000000004
141,1,0.0,2.3,0.1599999999999997,2.5000000000000004
142,1,0.0,2.34,0.19999999999999973,2.5000000000000004
143,1,0.0,2.37,0.22999999999999998,2.5000000000000004
144,1,0.0,2.4,0.2599999999999998,2.5000000000000004
145,1,0.0,2.44,0.2999999999999998,2.5000000000000004
146,1,0.0,2.47,0.33000000000000007,2.5000000000000004
147,1,0.0,2.5,0.3599999999999999,2.5000000000000004
148,1,0.0,2.54,0.3999999999999999,2.5000000000000004
149,2,0.0,2.57,0.4599999999999995,2.3255813953488365
150,2,0.0,2.6,0.52,2.3255813953488365
151,2,0.0,2.64,0.6000000000000001,2.3255813953488365
152,2,0.0,2.67,0.6599999999999997,2.3255813953488365
153,2,0.0,2.7,0.7200000000000002,2.3255813953488365
154,2,0.0,2.74,0.8000000000000003,2.3255813953488365
155,2,0.0,2.77,0.8599999999999999,2.3255813953488365
156,2,0.0,2.8,0.9199999999999995,2.3255813953488365
157,2,0.0,2.84,0.9999999999999996,2.3255813953488365
158,2,0.0,2.87,1.06,2.3255813953488365
159,2,0.0,2.9,1.1199999999999997,2.3255813953488365
160,2,0.0,2.94,1.1999999999999997,2.3255813953488365
161,2,0.0,2.97,1.2600000000000002,2.3255813953488365
162,3,0.0,3.0,1.3499999999999996,2.9411764705882364
163,3,0.0,3.04,1.4699999999999998,2.9411764705882364
164,3,0.0,3.07,1.5599999999999992,2.9411764705882364
165,3,0.0,3.1,1.65,2.9411764705882364
166,3,0.0,3.14,1.77,2.9411764705882364
167,3,0.0,3.17,1.8599999999999994,2.9411764705882364
168,3,0.0,3.2,1.9500000000000002,2.9411764705882364
169,3,0.0,3.24,2.0700000000000003,2.9411764705882364
170,3,0.0,3.27,2.1599999999999997,2.9411764705882364
171,3,0.0,3.3,2.249999999999999,2.9411764705882364
172,4,0.0,3.34,2.4099999999999993,2.7777777777777755
173,4,0.0,3.37,2.5300000000000002,2.7777777777777755
174,4,0.0,3.4,2.6499999999999995,2.7777777777777755
175,4,0.0,3.44,2.8099999999999996,2.7777777777777755
176,4,0.0,3.47,2.9300000000000006,2.7777777777777755
177,4,0.0,3.5,3.05,2.7777777777777755
178,4,0.0,3.54,3.21,2.7777777777777755
179,4,0.0,3.57,3.329999999999999,2.7777777777777755
180,4,0.0,3.6,3.45,2.7777777777777755
181,4,0.0,3.64,3.6100000000000003,2.7777777777777755
182,4,0.0,3.67,3.7299999999999995,2.7777777777777755
183,5,0.0,3.7,3.880000000000001,3.3333333333333353
184,5,0.0,3.74,4.080000000000001,3.3333333333333353
185,5,0.0,3.77,4.23,3.3333333333333353
186,5,0.0,3.8,4.379999999999999,3.3333333333333353
187,5,0.0,3.84,4.579999999999999,3.3333333333333353
188,5,0.0,3.87,4.73,3.3333333333333353
189,5,0.0,3.9,4.879999999999999,3.3333333333333353
190,5,0.0,3.94,5.079999999999999,3.3333333333333353
191,5,0.0,3.97,5.23,3.3333333333333353
192,6,0.0,4.0,5.409999999999999,3.7037037037037095
193,6,0.0,4.04,5.6499999999999995,3.7037037037037095
194,6,0.0,4.07,5.830000000000001,3.7037037037037095
195,6,0.0,4.1,6.009999999999997,3.7037037037037095
196,6,0.0,4.14,6.249999999999997,3.7037037037037095
197,6,0.0,4.17,6.429999999999999,3.7037037037037095
198,6,0.0,4.2,6.61,3.7037037037037095
199,6,0.0,4.24,6.8500000000000005,3.7037037037037095
200,7,0.0,4.27,7.059999999999996,2.499999999999998
201,7,0.0,4.3,7.269999999999998,2.499999999999998
202,7,0.0,4.34,7.549999999999998,2.499999999999998
203,7,0.0,4.37,7.76,2.499999999999998
204,7,0.0,4.4,7.9700000000000015,2.499999999999998
205,7,0.0,4.44,8.250000000000002,2.499999999999998
206,7,0.0,4.47,8.459999999999997,2.499999999999998
207,7,0.0,4.5,8.669999999999998,2.499999999999998
208,7,0.0,4.54,8.95,2.499999999999998
209,7,0.0,4.57,9.16,2.499999999999998
210,7,0.0,4.6,9.369999999999996,2.499999999999998
211,7,0.0,4.64,9.649999999999995,2.499999999999998
212,8,0.0,4.67,9.889999999999997,3.03030303030303
213,8,0.0,4.7,10.129999999999999,3.03030303030303
214,8,0.0,4.74,10.45,3.03030303030303
215,8,0.0,4.77,10.689999999999994,3.03030303030303
216,8,0.0,4.8,10.929999999999996,3.03030303030303
217,8,0.0,4.84,11.249999999999996,3.03030303030303
218,8,0.0,4.87,11.489999999999998,3.03030303030303
219,8,0.0,4.9,11.73,3.03030303030303
220,8,0.0,4.94,12.05,3.03030303030303
221,8,0.0,4.97,12.289999999999996,3.03030303030303
222,9,0.0,5.0,12.559999999999999,2.7027027027027017
223,9,0.0,5.04,12.919999999999998,2.7027027027027017
224,9,0.0,5.07,13.190000000000001,2.7027027027027017
225,9,0.0,5.1,13.459999999999996,2.7027027027027017
226,9,0.0,5.14,13.819999999999997,2.7027027027027017
227,9,0.0,5.17,14.09,2.7027027027027017
228,9,0.0,5.2,14.360000000000003,2.7027027027027017
229,9,0.0,5.24,14.720000000000002,2.7027027027027017
230,9,0.0,5.27,14.989999999999997,2.7027027027027017
231,9,0.0,5.3,15.259999999999998,2.7027027027027017
232,9,0.0,5.34,15.619999999999997,2.7027027027027017
233,10,0.0,5.37,15.92,3.3333333333333353
234,10,0.0,5.4,16.220000000000002,3.3333333333333353
235,10,0.0,5.44,16.620000000000005,3.3333333333333353
236,10,0.0,5.47,16.919999999999998,3.3333333333333353
237,10,0.0,5.5,17.22,3.3333333333333353
238,10,0.0,5.54,17.619999999999997,3.3333333333333353
239,10,0.0,5.57,17.92,3.3333333333333353
240,10,0.0,5.61,18.32,3.3333333333333353
241,10,0.0,5.64,18.619999999999994,3.3333333333333353
242,11,0.0,5.67,18.949999999999996,3.3333333333333353
243,11,0.0,5.71,19.389999999999997,3.3333333333333353
244,11,0.0,5.74,19.72,3.3333333333333353
245,11,0.0,5.77,20.04999999999999,3.3333333333333353
246,11,0.0,5.81,20.48999999999999,3.3333333333333353
247,11,0.0,5.84,20.819999999999993,3.3333333333333353
248,11,0.0,5.87,21.149999999999995,3.3333333333333353
249,11,0.0,5.91,21.589999999999996,3.3333333333333353
250,11,0.0,5.94,21.919999999999998,3.3333333333333353
251,12,0.0,5.97,22.27999999999999,3.3333333333333353
252,12,0.0,6.01,22.75999999999999,3.3333333333333353
253,12,0.0,6.04,23.119999999999994,3.3333333333333353
254,12,0.0,6.07,23.479999999999997,3.3333333333333353
255,12,0.0,6.11,23.959999999999997,3.3333333333333353
256,12,0.0,6.14,24.31999999999999,3.3333333333333353
257,12,0.0,6.17,24.679999999999993,3.3333333333333353
258,12,0.0,6.21,25.159999999999993,3.3333333333333353
259,12,0.0,6.24,25.519999999999996,3.3333333333333353
260,13,0.0,6.27,25.90999999999999,2.941176470588229
261,13,0.0,6.31,26.42999999999999,2.941176470588229
262,13,0.0,6.34,26.819999999999993,2.941176470588229
263,13,0.0,6.37,27.209999999999997,2.941176470588229
